,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
9742,1629601,The Disreputable History of Frankie Landau-Banks,E. Lockhart,0786838183,3.82,2008,25,3,"Little, Brown Books for Young Readers",5:12844,4:16460,3:10748,2:3185,1:1316,total:44553,4512,eng,,"Frankie Landau-Banks at age 14: Debate Club. Her father's ""bunny rabbit."" A mildly geeky girl attending a highly competitive boarding school. <br /><br />Frankie Landau-Banks at age 15: A knockout figure. A sharp tongue. A chip on her shoulder. And a gorgeous new senior boyfriend: the supremely goofy, word-obsessed Matthew Livingston. <br /><br />Frankie Landau-Banks, at age 16: No longer the kind of girl to take ""no"" for an answer and possibly a criminal mastermind. This is the story of how she got that way.<br /><br />Frankie Landau-Banks. No longer the kind of girl to take ""no"" for an answer. Especially when ""no"" means she's excluded from her boyfriend's all-male secret society. Not when her ex-boyfriend shows up in the strangest of places. Not when she knows she's smarter than any of them. When she knows Matthew's lying to her. And when there are so many, many pranks to be done.",345.0,4512.0
11915,1636228,Wicked Gentlemen,Ginn Hale,0978986113,3.99,2007,1,10,Blind Eye Books,5:1344,4:1426,3:768,2:200,1:75,total:3813,321,en-GB,,"Belimai Sykes is many things: a Prodigal, the descendant of ancient demons, a creature of dark temptations and rare powers. He is also a man with a brutal past and a dangerous addiction. And Belimai Sykes is the only man Captain William Harper can turn to when faced with a series of grisly murders.<br /><br />But Mr. Sykes does not work for free and the price of Belimai's company will cost Captain Harper far more than his reputation. From the ornate mansions of noblemen, where vivisection and sorcery are hidden beneath a veneer of gold, to the steaming slums of Hells Below, Captain Harper must fight for justice and for his life.<br /><br />His enemies are many and his only ally is a devil he knows too well. Such are the dangers of dealing with the wicked.",224.0,321.0
14642,1644692,"White Tiger (Dark Heavens, #1)",Kylie Chan,0732282969,3.89,2006,24,7,Voyager - AU,5:1462,4:1320,3:787,2:328,1:149,total:4046,400,,,"A young woman accepts a position as nanny to the young daughter of a handsome, wealthy, and mysterious Chinese businessman only to discover her new employer is really a god and every foul demon in creation is out to destroy him!",546.0,400.0
15028,1645789,The House at Riverton,Kate Morton,1416550518,3.95,2008,22,4,,5:29861,4:40849,3:22680,2:4433,1:1140,total:98963,420,en-US,,"<b><i>The House at Riverton</i> is a sweeping debut novel set in England between the wars. It is the story of an aristocratic family, a house, a mysterious death and a vanishing way of life, told by a woman who witnessed it all and kept a secret for a lifetime.</b><p>Grace Bradley went to work at Riverton House as a servant when she was just a girl, before the First World War. For years her life was inextricably tied up with the Hartford family, most particularly the two daughters, Hannah and Emmeline.</p><p>In the summer of 1924, at a glittering society party held at the House, a young poet shot himself. The only witnesses were Hannah and Emmeline, and only they—and Grace—know the truth.</p><p>The novel opens in 1999 when Grace is ninety-eight years old, living out her last days in a nursing home. She is visited by a young director who is making a film about the events of that summer in 1924. She takes Grace back to Riverton House and reawakens her memories. Told in flashback, this is the story of Grace's youth during the last days of Edwardian aristocratic privilege shattered by war, of the vibrant 1920s and of the changes she witnessed as an entire way of life vanished forever.</p><p>The novel is full of secrets—some revealed, others hidden forever, reminiscent of the romantic suspense of Daphne du Maurier. It is also a meditation on memory, the devastation of war and a beautifully rendered window into a fascinating time in history.</p><p>Originally published to critical acclaim in Australia, already sold in ten countries and a #1 bestseller in England, <i>The House at Riverton</i> is a page-turning novel of suspense and passion, with characters—and an ending—the reader won't soon forget.</p>",473.0,420.0
16920,1651302,"Perfect (Pretty Little Liars, #3)",Sara Shepard,0060887370,3.99,2007,1,9,HarperTeen,5:22324,4:19962,3:14212,2:3284,1:744,total:60526,2049,eng,,"<b>IN ROSEWOOD, PENNSYLVANIA, FOUR PERFECT-LOOKING GIRLS AREN'T NEARLY AS PERFECT AS THEY SEEM.</b><br /><br />Aria can't resist her forbidden ex. Hanna is on the verge of losing her BFF. Emily is freaking out over a simple kiss. And Spencer can't keep her hands off <i>anything</i> that belongs to her sister.<br /><br /><i>Lucky me</i>. I know these pretty little liars better than they know themselves. But it's hard keeping all of their secrets to myself. They better do as I say... or <i>else</i>!",298.0,2049.0
18449,1655965,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,0060199261,4.31,2001,22,5,William Morrow,5:37541,4:15144,3:6853,2:2846,1:1658,total:64042,101,eng,,"Called “a Russian <em>Thorn Birds</em>,” <em>The Bronze Horseman </em>by Paullina Simons is a sweeping saga of love and war that has been a monumental bestseller all over the world. The acclaimed author of <em>Tully, </em>Simons has written a stirring tale of devotion, passion, secrets, betray, and sacrifice. “A love story both tender and fierce” (<em>Publishers Weekly</em> )<em> </em>that “Recalls <em>Dr.</em><br /><em> Zhivago</em>” (<em>People Magazine</em>), <em>The Bronze Horseman </em>is rich and vivid historical fiction at its finest.",637.0,101.0
18468,1656001,"The Host (The Host, #1)",Stephenie Meyer,0316068047,3.84,2008,6,5,"Little, Brown and Company",5:325452,4:256612,3:176274,2:70627,1:49015,total:877980,37517,eng,,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.<br /><br />As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.<br /><br /><i>Also see: Alternate Cover Editions for this ISBN [ACE] </i> <br /><b>
  <a href=""https://www.goodreads.com/book/show/17160860"" rel=""nofollow"">ACE #1</a>
</b> - <b>
  <a href=""https://www.goodreads.com/book/show/18004625"" rel=""nofollow"">ACE #2</a>
</b>",620.0,37517.0
20207,1661390,"100 Cupboards  (100 Cupboards, #1)",N.D. Wilson,0375838813,3.78,2007,26,12,Random House Books for Young Readers,5:4101,4:5722,3:4129,2:1171,1:333,total:15456,1884,eng,,"Twelve-year-old Henry York is going to sleep one night when he hears a bump on the attic wall above his head. It's an unfamiliar house—Henry is staying with his aunt, uncle, and three cousins—so he tries to ignore it. But the next night he wakes up with bits of plaster in his hair. Two knobs have broken through the wall, and one of them is slowly turning...<br /><br /> Henry scrapes the plaster off the wall and discovers doors—ninety-nine cupboards of all different sizes and shapes. Through one he can hear the sound of falling rain. Through another he sees a glowing room—with a man strolling back and forth! Henry and his cousin Henrietta soon understand that these are not just cupboards. They are, in fact, portals to other worlds.<br /><br /> <i>100 Cupboards</i> is the first book of a new fantasy adventure, written in the best world-hopping tradition and reinvented in N.D Wilson's own inimitable style.",289.0,1884.0
20372,1661957,"Wake (Wake, #1)",Lisa McMann,1416953574,3.75,2008,4,3,Simon Pulse,5:24198,4:22888,3:18787,2:7131,1:3386,total:76390,4869,eng,,"For seventeen-year-old Janie, getting sucked into other people's dreams is getting old. Especially the falling dreams, the naked-but-nobody-notices dreams, and the sex-crazed dreams. Janie's seen enough fantasy booty to last her a lifetime.<br /><br />She can't tell anybody about what she does they'd never believe her, or worse, they'd think she's a freak. So Janie lives on the fringe, cursed with an ability she doesn't want and can't control.<br /><br />Then she falls into a gruesome nightmare, one that chills her to the bone. For the first time, Janie is more than a witness to someone else's twisted psyche. She is a participant.",210.0,4869.0
20599,1662589,"Unquiet Dreams (Connor Grey, #2)",Mark Del Franco,0441015697,3.85,2008,29,1,Ace,5:670,4:1181,3:830,2:89,1:29,total:2799,102,en-US,,"Fueled by a mysterious new drug, Celtic fairies and Teutonic elves battle for turf and power-with humans caught in the middle. As the body count rises, Connor Grey uncovers a vast conspiracy that threatens to destroy not only the city, but the world.",292.0,102.0
22863,1669734,Doctor Who: Wishing Well,Trevor Baxendale,1846073480,3.73,2007,26,12,BBC Books,5:345,4:395,3:453,2:110,1:10,total:1313,88,eng,,"The old village well is just a curiosity - something to attract tourists intrigued by stories of lost treasure, or visitors just making a wish. Unless something alien and terrifying could be lurking inside the well? Something utterly monstrous that causes nothing but death and destruction?<br /><br />But who knows the real truth about the well? Who wishes to unleash the hideous force it contains? What terrible consequences will follow the search for a legendary treasure hidden at the bottom?<br /><br />No one wants to believe the Doctor's warnings about the deadly horror lying in wait - but soon they'll wish they had...<br /><br />Featuring the Tenth Doctor and Martha as played by David Tennant and Freema Agyeman in the hit sci-fi series from BBC Television.",239.0,88.0
23892,1672727,Two-Way Street,Lauren Barnholdt,1416913184,3.8,2007,26,6,Simon Pulse,5:14230,4:13767,3:11863,2:3884,1:1272,total:45016,1846,,,"There are two sides to every breakup.<br /><br />This is Jordan and Courtney, totally in love. Sure, they were an unlikely high school couple. But they clicked; it worked. They're even going to the same college, and driving cross-country together for orientation. <p> Then Jordan dumps Courtney -- for a girl he met on the Internet. </p><p> It's too late to change plans, so the road trip is on. Courtney's heartbroken, but figures she can tough it out for a few days. <i>La la la</i> -- this is Courtney pretending not to care. </p><p> But in a strange twist, Jordan cares. A lot. </p><p> Turns out, he's got a secret or two that he's not telling Courtney. And it has everything to do with why they broke up, why they can't get back together, and how, in spite of it all, this couple is destined for each other.</p>",288.0,1846.0
24714,1675216,"Found (The Missing, #1)",Margaret Peterson Haddix,1416954171,3.98,2008,22,4,Simon  Schuster Books for Young Readers,5:12905,4:13291,3:8231,2:1929,1:523,total:36879,3452,eng,,"Thirteen-year-old Jonah has always known that he was adopted, and he's never thought it was any big deal. Then he and a new friend, Chip, who's also adopted, begin receiving mysterious letters. The first one says, ""You are one of the missing."" The second one says, ""Beware! They're coming back to get you.""<br /><br />Jonah, Chip, and Jonah's sister, Katherine, are plunged into a mystery that involves the FBI, a vast smuggling operation, an airplane that appeared out of nowhere - and people who seem to appear and disappear at will. The kids discover they are caught in a battle between two opposing forces that want very different things for Jonah and Chip's lives.<br /><br />Do Jonah and Chip have any choice in the matter? And what should they choose when both alternatives are horrifying?<br /><br />With <i>Found</i>, Margaret Peterson Haddix begins a new series that promises to be every bit as suspenseful as <i>Among the Hidden</i>, and proves her, once again, to be a master of the page-turner.",320.0,3452.0
25336,1677052,Doctor Who: Peacemaker,James Swallow,1846073499,3.76,2007,26,12,BBC Books,5:373,4:389,3:414,2:105,1:20,total:1301,77,eng,,"The peace and quiet of a remote homestead in the 1880s American West is shattered by the arrival of two shadowy outriders searching for 'the healer'. When the farmer refuses to help them, they raze the house to the ground using guns that shoot bolts of energy instead of bullets...<br /><br />In the town of Redwater, the Doctor and Martha learn of a snake-oil salesman whose patent medicines actually cure his patients. But when the Doctor and Martha investigate they discover the truth is stranger, and far more dangerous.<br /><br />Caught between the law of the gun and the deadly plans of intergalactic mercenaries, the Doctor and Martha are about to discover just how wild the West can become...<br /><br />The Doctor and Martha are about to find out if a sonic screwdriver is more powerful than a six-shooter - the latest in the bestselling series of <i>Doctor Who</i> novels.",238.0,77.0
25671,1677996,Late Nights on Air,Elizabeth Hay,0771038119,3.55,2007,18,9,McClelland & Stewart,5:2120,4:3854,3:3361,2:1203,1:426,total:10964,643,eng,,"The eagerly anticipated novel from the bestselling author of <b>A Student of Weather </b>and <b>Garbo Laughs</b>. <br /><br />Harry Boyd, a hard-bitten refugee from failure in Toronto television, has returned to a small radio station in the Canadian North. There, in Yellowknife, in the summer of 1975, he falls in love with a voice on air, though the real woman, Dido Paris, is both a surprise and even more than he imagined. <br /><br />Dido and Harry are part of the cast of eccentric, utterly loveable characters, all transplants from elsewhere, who form an unlikely group at the station. Their loves and longings, their rivalries and entanglements, the stories of their pasts and what brought each of them to the North, form the centre. One summer, on a canoe trip four of them make into the Arctic wilderness (following in the steps of the legendary Englishman John Hornby, who, along with his small party, starved to death in the barrens in 1927), they find the balance of love shifting, much as the balance of power in the North is being changed by the proposed Mackenzie Valley gas pipeline, which threatens to displace Native people from their land.<br /><br />Elizabeth Hay has been compared to Annie Proulx, Alice Hoffman, and Isabel Allende, yet she is uniquely herself. With unforgettable characters, vividly evoked settings, in this new novel, Hay brings to bear her skewering intelligence into the frailties of the human heart and her ability to tell a spellbinding story. Written in gorgeous prose, laced with dark humour, <b>Late Nights on Air</b> is Hay’s most seductive and accomplished novel yet.<br /><br />",364.0,643.0
